,brand,store,sido,gungu,address,phone
0,nene,강원춘천시퇴계점,강원,춘천시,강원 춘천시 춘주로 187번길20-4,033-242-8119
1,nene,강원홍천군시동점,강원,홍천군,강원 홍천군 남면 시동안로 321번길34-2,033-432-9288
2,nene,강원춘천시교동후평점,강원,춘천시,강원 춘천시 성심로 23-1,033-244-8892
3,nene,강원화천군산양리점,강원,화천군,강원 화천군 상서면 영서로 7740-4,033-442-4484
4,nene,강원양구군동면점,강원,양구군,강원 양구군 동면 금강산로 1681,033-482-2292
5,nene,강원영월군영월점,강원,영월군,강원 영월군 영월읍 은행나무길 58,033-375-9696
6,nene,강원강릉시초당점,강원,강릉시,강원 강릉시 초당원길 19,033-653-9298
7,nene,강원원주시단계점,강원,원주시,강원 원주시 원문로 146,033-748-0213
8,nene,강원원주시명륜점,강원,원주시,강원 원주시 남산로 30,033-761-9288
9,nene,강원태백시태백점,강원,태백시,강원 태백시 황지로 238,033-554-4494
10,nene,강원속초시교동점,강원,속초시,강원 속초시 동해대로 4270,033-633-4425
11,nene,강원속초시조양점,강원,속초시,강원 속초시 동해대로 3996,033-637-4466
12,nene,강원원주시문막점,강원,원주시,강원 원주시 문막읍 건등로 40-3,033-734-4482
13,nene,강원양양군양양점,강원,양양군,강원 양양군 양양읍 양양로 83-1,033-673-4492
14,nene,강원원주시오크밸리점,강원도,원주시,강원도 원주시 지정면 오크밸리1길 1길701층,033-730-3737
15,nene,강원인제군서화점(B),강원,인제군,강원 인제군 서화면 천도로 126번길6,033-462-4479
16,nene,강원화천군다목리점,강원,화천군,강원 화천군 상서면 수피령로 1306,033-441-9288
17,nene,강원동해시망상점,강원,동해시,강원 동해시 동해대로 6270-31,033-534-3377
18,nene,강원철원군자등리점,강원,철원군,강원 철원군 서면 자등로 578,033-458-9233
19,nene,강원홍천군대명비발디점,강원,홍천군,강원 홍천군 서면 한치골길 48,033-435-4479
20,nene,강원화천군화천점,강원,화천군,강원 화천군 화천읍 중앙 5,033-441-9233
21,nene,강원강릉시내곡점,강원,강릉시,강원 강릉시 범일로 579번길49-2,033-643-9954
22,nene,강원원주시무실점,강원,원주시,강원 원주시 섬밭들길 2길16-2,033-746-4479
23,nene,강원동해시효가점,강원,동해시,강원 동해시 동해대로 5033,033-521-2676
24,nene,강원태백시장성점,강원,태백시,강원 태백시 장성로 43-2,033-581-5677
25,nene,강원평창군대관령점,강원,평창군,강원 평창군 대관령면 경강로  5166,033-335-9599
26,nene,강원평창군장평점,강원,평창군,강원 평창군 용평면 경강로 1663-1,033-333-4491
27,nene,강원정선군정선점,강원,정선군,강원 정선군 정선읍 봉양길 6길28,033-562-4477
28,nene,강원철원군동송점,강원,철원군,강원 철원군 동송읍 금학로 202,033-456-0635
29,nene,강원철원군와수리점,강원,철원군,강원 철원군 서면 와수로 181번길7-16,033-458-5332
30,nene,강원강릉시홍제점,강원,강릉시,강원 강릉시 홍제로 33,033-643-9993
31,nene,강원평창군봉평점,강원,평창군,강원 평창군 봉평면 태기로 68,033-334-5255
32,nene,강원강릉시솔올점,강원,강릉시,강원 강릉시 원대로 155,033-641-4560
33,nene,강원강릉시입암점,강원,강릉시,강원 강릉시 강변로 410번길36,033-643-9976
34,nene,강원인제군현리점,강원,인제군,강원 인제군 기린면 내린천로 3905-1,033-461-9294
35,nene,강원양구군양구점,강원,양구군,강원 양구군 양구읍 중앙길 12,033-481-9995
36,nene,강원춘천시강북점,강원,춘천시,강원 춘천시 충열로 78-3,033-252-0086
37,nene,강원횡성군횡성점,강원,횡성군,강원 횡성군 횡성읍 읍하로 25번길14,033-344-4479
38,nene,강원철원군신철원점,강원,철원군,강원 철원군 갈말읍 삼부연로 172-11층,"033-452-9911, 0"
39,nene,강원인제군인제점,강원,인제군,강원 인제군 인제읍 인제로 197-1,033-463-7999
40,nene,강원동해시천곡점,강원,동해시,강원 동해시 한섬로 18,033-532-9591
41,nene,충북제천시강제점,충북,제천시,충북 제천시 청풍호로 10안길9,043-645-4479
42,nene,충북제천시청전점,충북,제천시,충북 제천시 의림대로 31길 31길22,043-647-4479
43,nene,강원강릉시포남1점,강원,강릉시,강원 강릉시 성덕포남로 169,033-652-9976
44,nene,강원원주시혁신도시점,강원,원주시,강원 원주시 웅비2길  2길8,033-742-4479
45,nene,강원고성군고성간성점,강원,고성군,강원 고성군 간성읍 간성로 65-1,033-681-4479
46,nene,강원평창군진부점,강원,평창군,강원 평창군 진부면 진부중앙로 50,033-336-4492
47,nene,강원강릉시주문진점,강원,강릉시,강원 강릉시 주문진읍 주문로 11,033-661-4488
48,nene,강원삼척시교동점,강원,삼척시,강원 삼척시 정상로 10-6,033-573-8000
49,nene,강원양양군하조대점,강원,양양군,강원 양양군 현북면 조준길 6,033-672-1658
50,nene,강원정선군고한점,강원,정선군,강원 정선군 고한읍 물한리길 8메이힐스리조트1층,033-936-9898
51,nene,강원인제군신남점,강원,인제군,강원 인제군 남면 신남로 41,033-461-0049
52,nene,강원강릉시노암점(C),강원,강릉시,강원 강릉시 율곡로 2745,033-646-9979
53,nene,강원원주시기업도시점,강원,원주시,강원 원주시 지정면 신지정로 300,033-732-5979
54,nene,충북단양군매포읍점,충북,단양군,충북 단양군 충북 단양군 매포읍 단양로매포읍 단양로 1922,043-423-4479
55,nene,강원춘천시효자점,강원,춘천시,강원 춘천시 서부대성로 194,033-256-0074
56,nene,강원원주시개운단구점(B),강원,원주시,강원 원주시 구곡길 57-4,033-761-0304
57,nene,강원철원군지경리점,강원,철원군,강원 철원군 갈말읍 청양로 80-1,033-458-3505
58,nene,강원원주시태장점,강원,원주시,강원 원주시 북원로 2714,033-743-4479
59,nene,충북제천시제천1점,충북,제천시,충북 제천시 숭문로 75,043-643-0114
60,nene,충북제천시신백점,충북,제천시,충북 제천시 신백로 14길12,043-653-1113
61,nene,충북단양군단양점,충북,단양군,충북 단양군 단양읍 삼봉로 278-1,"043-423-4482, 0"
62,nene,경기양주시광적점,경기,양주시,경기 양주시 광적면 삼일로 23,031-836-3436
63,nene,경기포천시신읍리점,경기,포천시,경기 포천시 왕방로 159,031-531-9280
64,nene,서울강북구미아점,서울,강북구,서울 강북구 삼양로 54길119,02-982-8292
65,nene,경기양주시덕계점,경기,양주시,경기 양주시 평화로 1412,031-864-9982
66,nene,경기양주시장흥점,경기,양주시,경기 양주시 장흥면 호국로 177,031-855-5474
67,nene,경기연천군대광리점,경기,연천군,경기 연천군 신서면 연신로 1155-1,031-834-8207
68,nene,서울성북구정릉점,서울,성북구,서울 성북구 보국문로 90,02-943-9592
69,nene,서울서대문구홍제역점,서울,서대문구,서울 서대문구 통일로 39길22-4,"02-3216-4450, 0"
70,nene,서울중랑구묵2동점,서울,중랑구,서울 중랑구 동일로 163길36,02-975-4527
71,nene,서울동대문구용두1호점,서울,동대문구,서울 동대문구 정릉천동로 58,02-922-3777
72,nene,경기포천시양문점,경기,포천시,경기 포천시 영중면 양문로 87-1,031-532-6608
73,nene,서울마포구망원점,서울,마포구,서울 마포구 포은로 68,"02-323-7383, 02"
74,nene,서울동대문구신이문점,서울,동대문구,서울 동대문구 한천로 421-1,02-966-8955
75,nene,서울노원구상계마들점,서울,노원구,서울 노원구 한글비석로 228길23상계주공14단지상가제1층104호,02-934-4479
76,nene,경기파주시문산점,경기,파주시,경기 파주시 문산읍 문향로 30,031-953-9479
77,nene,서울중랑구망우점,서울,중랑구,서울 중랑구 용마산로 493,02-433-4479
78,nene,경기연천군연천점,경기,연천군,경기 연천군 연천읍 연천로 330,031-834-8245
79,nene,경기고양시주엽1점,경기,고양시,경기 고양시 일산서구 대산로 58,031-912-8892
80,nene,서울광진구어린이대공원점,서울,광진구,서울 광진구 광나루로 521,02-466-6572
81,nene,서울은평구역촌점,서울,은평구,서울 은평구 역말로 7길3-2,02-359-4472
82,nene,경기포천시이동점,경기,포천시,경기 포천시 이동면 성장로 1길9-1,031-531-9289
83,nene,경기양주시덕정점,경기,양주시,경기 양주시 화합로 1402번길24-50,031-859-4977
84,nene,서울성북구동소문점,서울,성북구,서울 성북구 아리랑로 5길39,02-923-4492
85,nene,경기의정부시장암점,경기,의정부시,경기 의정부시 장곡로 322번길14-9,031-855-9003
86,nene,서울도봉구방학2점,서울,도봉구,서울 도봉구 방학로 117,02-955-4482
87,nene,경기의정부시신곡점,경기,의정부시,경기 의정부시 시민로 176,031-842-9995
88,nene,서울성북구장위2동점,서울,성북구,서울 성북구 돌곶이로 27길59-3,02-913-9290
89,nene,서울성북구석관점(B),서울,성북구,서울 성북구 한천로 76길20,02-960-4492
90,nene,서울성동구금호점,서울,성동구,서울 성동구 독서당로 315-4,02-2299-2272
91,nene,경기고양시행신2점,경기,고양시,경기 고양시 덕양구 무원로 6무원빌딩111호,031-973-0702
92,nene,경기의정부시금오점,경기,의정부시,경기 의정부시 하금로 45,031-847-9670
93,nene,경기의정부시호원점,경기,의정부시,경기 의정부시 평화로 138,031-871-0298
94,nene,서울광진구군자송정점,서울,광진구,서울 광진구 동일로 52길15,02-499-4479
95,nene,경기포천시송우점,경기,포천시,경기 포천시 소흘읍 봉솔로길 3길17,031-543-4244
96,nene,서울마포구상암점(B),서울,마포구,서울 마포구 월드컵북로 47길46,02-373-4479
97,nene,경기고양시화정2점,경기도,고양시,경기도 고양시 덕양구 화정로 86,031-978-4445
98,nene,경기의정부시신시가지점,경기,의정부시,경기 의정부시 범골로 82번길30,031-879-6160
99,nene,경기파주시법원점,경기,파주시,경기 파주시 법원읍 사임당로 791,031-959-1017
100,nene,서울중랑구면목3점,서울,중랑구,서울 중랑구 용마산로 89길16,02-493-4479
101,nene,서울강북구수유2점,서울,강북구,서울 강북구 삼각산로 99,02-905-8899
102,nene,서울중랑구중화점,서울,중랑구,서울 중랑구 동일로 123길91,02-491-4479
103,nene,경기의정부시가능2점,경기,의정부시,경기 의정부시 가능로 39번길10,031-874-5550
104,nene,경기연천군군남점,경기,연천군,경기 연천군 군남면 군왕로 8,031-833-3555
105,nene,서울성동구성수2가점,서울,성동구,서울 성동구 성덕정길 27,02-467-8277
106,nene,서울광진구중곡1점,서울,광진구,서울 광진구 면목로 148,02-468-5592
107,nene,경기양주시은현점,경기,양주시,경기 양주시 은현면 은현로 201층101호,031-861-8955
108,nene,서울동대문구청량리점,서울,동대문구,서울 동대문구 홍릉로 50,02-968-0092
109,nene,서울노원구중계4동점,서울,노원구,서울 노원구 덕릉로 89길9,02-3392-4479
110,nene,경기파주시LCD점,경기,파주시,경기 파주시 월롱면 엘씨디로 8번길34,031-949-3536
111,nene,서울광진구자양2점,서울,광진구,서울 광진구 뚝섬로 52가길6,02-454-3336
112,nene,서울마포구서교점,서울,마포구,서울 마포구 월드컵북로 7길11,02-322-7339
113,nene,서울은평구응암점,서울,은평구,서울 은평구 은평로 8길29,02-387-3366
114,nene,서울성북구종암점(B),서울,성북구,서울 성북구 종암로 19길37,02-921-2900
115,nene,서울강북구수유점,서울,강북구,서울 강북구 삼양로 74길18,02-985-0092
116,nene,경기고양시성사점,경기,고양시,경기 고양시 덕양구 마상로 169,031-962-7792
117,nene,경기양주시백석점,경기,양주시,경기 양주시 백석읍 호명로 22,031-879-9114
118,nene,서울동대문구장안점(B),서울,동대문구,서울 동대문구 장한로 18길32,02-3390-4479
119,nene,경기양주시옥정지구점,경기,양주시,경기 양주시 새터로 19번길8,031-866-4479
120,nene,경기의정부시민락용현점,경기,의정부시,경기 의정부시 용현로 120번길3,031-852-3400
121,nene,서울노원구공릉역점(B),서울시,노원구,서울시 노원구 동일로 191길19,02-977-4492
122,nene,서울노원구상계중앙점,서울,노원구,서울 노원구 동일로 459-37상계주공1단지가상가125호,02-931-4492
123,nene,서울도봉구쌍문점,서울,도봉구,서울 도봉구 노해로 38길7,02-900-9912
124,nene,경기고양시삼송역점(B),경기,고양시,경기 고양시 덕양구 삼송로 222,02-6953-5154
125,nene,서울용산구원효점(B),서울,용산구,서울 용산구 새창로길 20길1,02-704-4567
126,nene,경기파주시운정1점,경기,파주시,경기 파주시 와석순환로 309,031-948-2332
127,nene,서울서대문구연희점,서울,서대문구,서울 서대문구 연희로 90,02-3143-4479
128,nene,서울광진구화양건대점(B),서울,광진구,서울 광진구 아차산로 30,02-462-8887
129,nene,경기동두천시생연점,경기,동두천시,경기 동두천시 삼육사로 980,031-862-9298
130,nene,서울종로구창신점(B),서울,종로구,서울 종로구 지봉로 62,02-766-9282
131,nene,서울은평구갈현점(B),서울,은평구,서울 은평구 연서로 87길6,02-356-7221
132,nene,서울서대문구북가좌2점,서울,서대문구,서울 서대문구 증가로 211,02-303-4479
133,nene,서울서대문구이대역점,서울,서대문구,서울 서대문구 연세로 2길84,02-3272-0036
134,nene,서울서대문구홍은1점,서울,서대문구,서울 서대문구 간호대로 16,02-391-4492
135,nene,경기파주시교하점(B),경기,파주시,경기 파주시 책향기로 369,031-946-4479
136,nene,경기고양시지축역점(B),경기,고양시,경기 고양시 덕양구 안진5길 5길38,02-381-4479
137,nene,경기고양시고양동점,경기,고양시,경기 고양시 덕양구 혜음로 56,031-964-5592
138,nene,경기포천시가산점,경기,포천시,경기 포천시 가산면 가산로 324,031-541-9585
139,nene,서울종로구종로점,서울,종로구,서울 종로구 수표로 26길12파고다빌딩1층,02-2275-0388
140,nene,경기고양시라페스타점,경기,고양시,경기 고양시 일산동구 무궁화로 7-45,031-905-9982
141,nene,경기연천군전곡점,경기도,연천군,경기도 연천군 전곡읍 은전로 78번길30,031-832-9956
142,nene,경기고양시백석2점,경기,고양시,경기 고양시 일산동구 중앙로 1123,031-906-4479
143,nene,경기고양시풍동점,경기,고양시,경기 고양시 일산동구 숲속마을로 2로106-2,031-966-4492
144,nene,경기포천시내촌점,경기,포천시,경기 포천시 내촌면 내촌로 26,031-531-3222
145,nene,경기양주시신산점,경기,양주시,경기 양주시 남면 개나리길 11길38-4,031-861-9252
146,nene,경기양주시옥정점(B),경기,양주시,경기 양주시 옥정동로5나길 5나길5-2,031-858-4479
147,nene,경기파주시선유주공점,경기,파주시,경기 파주시 문산읍 독서울길 1길22,031-953-1842
148,nene,경기파주시용미점,경기,파주시,경기 파주시 광탄면 혜음로 545,031-942-4479
149,nene,경기동두천시중앙점,경기,동두천시,경기 동두천시 동광로 81번길15,031-861-2234
150,nene,서울중랑구상봉1점,서울,중랑구,서울 중랑구 신내로 52길73,02-434-3544
151,nene,서울도봉구방학1점,서울,도봉구,서울 도봉구 도당로 27길20,02-3491-4479
152,nene,경기양주시송추점,경기,양주시,경기 양주시 장흥면 호국로 569,031-826-1934
